Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1352696821000	Radiohead	Lucky	The Best Of	26c3e5e2-fe40-4438-a1a0-d432dc78bc44	a74b1b7f-71a5-4011-9441-d0b5e4122711	af8722d8-6248-4b9c-9d30-2183eafa2ed9
1352723695000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
1352723696000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
1352723697000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
1352723698000	Two Door Cinema Club	You're Not Stubborn	Tourist History [Promo]		6f1de078-6684-4792-820d-2ffad64c15ed	
1352868750000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1352868751000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1352868752000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1352868753000	Two Door Cinema Club	Something Good Can Work	Tourist History [Promo]	7d8390e4-694c-4fb3-ad9e-5a38e5654443	6f1de078-6684-4792-820d-2ffad64c15ed	
1352868961000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352868962000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
1352868963000	Two Door Cinema Club	Standing on Ghosts	Four Words to Stand On	fa59e4bb-1c1d-4a05-8f89-3f1ca7175adc	6f1de078-6684-4792-820d-2ffad64c15ed	77f8ef00-9fc1-40bc-8458-dc2ac1e615a0
